"fulladdress","lon","lat"
"300 New England Highway, Rutherford NSW 2320 AU",151.5251914,-32.7148179
"Pacific Hwy (Park Beach Plaza), Coffs Harbour NSW 2450 AU",153.1313722,-30.2826806
"Stockland Drive (Stockland Shopping Centre), Glendale NSW 2285 AU",151.6395651,-32.9321062
"736-742 Main Road, Edgeworth NSW 2285 AU",151.6206382,-32.9243842
"1042 Great Western Highway, Minchinbury NSW 2770 AU",150.8284106,-33.7822519
"104 Great Western Highway & Bennett Road, Colyton NSW 2760 AU",149.6100469,-33.4190005
"Lot 3 Great Western Highway (Cnr John Hines Ave), Minchinbury NSW 2770 AU",150.8104188,-33.779441
"Corner Evans & 108 Rooty Hill Roads, Rooty Hill NSW 2766 AU",-97.3027848,37.7232893
"Lot 16 - 25 Great Western Highway, Eastern Creek NSW 2766 AU",150.8006258,-33.7760397
"26 Skinner Street, South Grafton NSW 2460 AU",152.9350266,-29.7019664
"438 Crown St, West Wollongong NSW 2500 AU",150.873021,-34.4251074
"505 Crown St, West Wollongong NSW 2500 AU",150.8725123,-34.4255018
"132 Old Bathurst Road, Emu Plains NSW 2750 AU",150.6559515,-33.7429741
"2 Simeoni Drive, Goonellabah NSW 2480 AU",153.3278999,-28.8229437
"35 William Street, Bathurst NSW 2795 AU",149.5829172,-33.4161438
"3 Bells Line Of Road, NORTH RICHMOND NSW 2754 AU",150.7190612,-33.5864413
"1 Illabo Road, Junee NSW 2663 AU",147.5859253,-34.8572318
"49-51 Maitland St, MUSWELLBROOK NSW 2333 AU",150.8900454,-32.2721005
"45 Yanko Road, West Pymble NSW 2073 AU",151.1285255,-33.7620792
"Lot 4 Tumbi Creek Rd, Berkeley Vale NSW 2261 AU",151.4448926,-33.3612743
"397 Main Rd, CARDIFF NSW 2285 AU",151.6562059,-32.9339267
"283 Great Western Hwy (Cnr Russell St), Emu Plains NSW 2750 AU",150.6530057,-33.7537594
"Cnr. Glenmore Parkway & Main Street, Glenmore Park NSW 2745 AU",150.680295,-33.7938921
"560-562 Victoria Road, ERMINGTON NSW 2115 AU",151.05497,-33.8139272
"Newcastle St & William St, EAST MAITLAND NSW 2323 AU",-82.138387,27.035605
"1 Ryrie Street, MICHELAGO NSW 2620 AU",149.1607488,-35.7034534
"553 Bunnerong Road, Matraville NSW 2036 AU",151.2314871,-33.9609075
"66-70 Regent Street, CHIPPENDALE NSW 2008 AU",151.2017365,-33.8877988
"Cnr of Arthur Kaine Drive and Dunns Lane, MERIMBULA NSW 2548 AU",149.9108506,-36.8965169
"45 Bant Street, SOUTH BATHURST NSW 2795 AU",149.5783144,-33.4310205
"Pacific Hwy & Heber Street, GRAFTON SOUTH NSW 2460 AU",-117.1996038,32.7488521
"Corner of New England Highway & Grafton Street, Glen Innes NSW 2370 AU",151.943048,-27.846059
"110 Kurrajong Avenue, Leeton NSW 2705 AU",146.4099481,-34.5557137
"58 Clarence Street, Woolgoolga NSW 2456 AU",153.1907157,-30.11037
"2910 Pacific Highway, Mullaway NSW 2456 AU",153.1884629,-30.0766689
"16 Ballina Rd, Lismore NSW 2480 AU",153.2758856,-28.8134348
"1-3 Penrhyn Rd, BANKSMEADOW NSW 2019 AU",151.2154511,-33.9634206
"360 Old Maitland Rd Cnr Pacific Hwy, Hexham NSW 2322 AU",151.6845719,-32.8279402
"162 Maitland Road, SANDGATE NSW 2304 AU",151.7061704,-32.8650429
"656-658 THE ENTRANCE ROAD, WAMBERAL NSW 2260 AU",151.4382155,-33.4232503
"741 George St, Windsor South NSW 2756 AU",150.7840859,-33.638887
"19 The Northern Rd, Luddenham NSW 2745 AU",150.6893044,-33.8754183
"76-82 Persley Street, Orange NSW 2800 AU",149.1027211,-33.2902525
"4 Ryde Rd, Hunters Hill NSW 2110 AU",151.1416851,-33.8318325
"427 Bungarribee Road, Doonside NSW 2767 AU",150.8762923,-33.7729578
"Lot 201 Appin Road, St Helens Park NSW 2560 AU",150.7986172,-34.1120317
"920 Richmond Rd, Marsden Park NSW 2765 AU",150.843037,-33.7156786
"398 Merrylands Rd (Cnr Fowler Rd), Merrylands NSW 2160 AU",150.9777665,-33.8344602
"4 Century Circuit, Baulkham Hills NSW 2153 AU",150.962505,-33.733002
"7 Lake Albert Road, EAST WAGGA WAGGA NSW 2650 AU",147.3784807,-35.121449
"12-14 Bolwarra Rd, PORT MACQUARIE NSW 2444 AU",152.8854802,-31.4500995
"345 Avoca Street, RANDWICK NSW 2031 AU",151.2398325,-33.9253528
"209 Pittwater Road, Manly NSW 2095 AU",151.2840945,-33.7874041
"601 Pacific Hwy, Boambee NSW 2450 AU",153.0815797,-30.3359414
"15-19 Aspen Street, Penrith South NSW 2750 AU",150.7107235,-33.7772772
"30 Henry Street, Penrith NSW 2750 AU",150.7046433,-33.753997
"127 Great Western Highway (Corner Morley Avenue), Kingswood NSW 2747 AU",150.7265652,-33.7598762
"593 Main Rd, Glendale NSW 2285 AU",151.638061,-32.9270808
"434 Crown St, Wollongong West NSW 2500 AU",150.8735662,-34.4250905
"57 Winnima Way, BERKELEY NSW 2506 AU",150.8462416,-34.4802325
"71 Appin Road, Appin NSW 2560 AU",150.787769,-34.2008775
"95-97 Ramsay St, HABERFIELD NSW 2045 AU",151.1402838,-33.8816557
"449 Victoria St, WETHERILL PARK NSW 2164 AU",150.8920139,-33.8446146
"Cnr Pacific Hwy & Halls Rd, Coffs Harbour NSW 2450 AU",152.8690518,-30.8010167
"131-133 Cobra St (Cnr Fitzroy St), Dubbo NSW 2830 AU",148.6126162,-32.2551158
"575 Wagga Rd, Lavington NSW 2641 AU",146.9631328,-36.0367143
"Whylandra St & Victoria St, Dubbo NSW 2830 AU",148.5930014,-32.2485427
"91 Bent St (Cnr Spring St), Grafton NSW 2460 AU",152.9399917,-29.7060703
"Molly Morgan Drive (Stockland Green Hills), East Maitland NSW 2323 AU",151.592382,-32.7608601
"39-41 Port Stephens Rd (Cnr Bourke St), Raymond Terrace NSW 2324 AU",151.7441856,-32.7602971
"118 New England Hwy, Rutherford NSW 2320 AU",151.5394262,-32.7210819
"165 Pacific Highway, Coffs Central NSW 2450 AU",153.1212878,-30.2905075
